epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,775.859,1.27109,1.50443,1.35918,0.79176,0.50149,0.55797,0.4089,1.58691,2.0018,1.64065,0.0009035,0.0009035,0.0009035
44,792.013,1.3027,1.50498,1.38763,0.82167,0.53598,0.58514,0.46186,1.53541,1.89255,1.55975,0.00089525,0.00089525,0.00089525
45,807.955,1.30289,1.51909,1.36652,0.70828,0.5427,0.55869,0.42035,1.51271,2.5162,1.51397,0.000887,0.000887,0.000887
46,829.865,1.26982,1.5382,1.38,0.79912,0.50811,0.57934,0.41726,1.5641,1.96692,1.57485,0.00087875,0.00087875,0.00087875
47,847.36,1.25113,1.49051,1.37251,0.72746,0.55118,0.5993,0.46257,1.59368,1.92072,1.6089,0.0008705,0.0008705,0.0008705
48,864.187,1.226,1.41806,1.34158,0.86948,0.56278,0.61596,0.45698,1.55319,1.81175,1.59562,0.00086225,0.00086225,0.00086225
49,887.641,1.24692,1.48064,1.36793,0.8321,0.55424,0.61193,0.45527,1.46374,1.78246,1.52322,0.000854,0.000854,0.000854
50,903.291,1.25004,1.44794,1.35241,0.69196,0.57778,0.58434,0.45439,1.49287,2.02486,1.61458,0.00084575,0.00084575,0.00084575
51,920.307,1.22162,1.43873,1.33727,0.79342,0.50152,0.58351,0.45782,1.53885,1.90394,1.5857,0.0008375,0.0008375,0.0008375
52,941.293,1.22632,1.48662,1.36144,0.8369,0.4929,0.57463,0.44788,1.45775,1.86427,1.60826,0.00082925,0.00082925,0.00082925
53,957.622,1.23395,1.46663,1.34884,0.80432,0.54618,0.59478,0.48175,1.30456,1.80873,1.44536,0.000821,0.000821,0.000821
54,979.883,1.24883,1.45262,1.33944,0.81158,0.56969,0.59053,0.46738,1.43338,1.84293,1.52365,0.00081275,0.00081275,0.00081275
55,996.817,1.23269,1.42947,1.33674,0.75921,0.56838,0.58665,0.44111,1.48256,1.95834,1.52583,0.0008045,0.0008045,0.0008045
56,1014.01,1.25253,1.46677,1.35648,0.75132,0.57321,0.58898,0.44246,1.46908,1.78325,1.6022,0.00079625,0.00079625,0.00079625
57,1035.37,1.24242,1.47205,1.35663,0.79816,0.55987,0.58758,0.45494,1.37451,1.91693,1.57167,0.000788,0.000788,0.000788
58,1052.66,1.19646,1.42163,1.34788,0.75354,0.57508,0.59353,0.48168,1.49603,1.96238,1.58754,0.00077975,0.00077975,0.00077975
59,1070.02,1.20873,1.40085,1.33351,0.83482,0.55349,0.60104,0.47014,1.52423,1.81582,1.64026,0.0007715,0.0007715,0.0007715
60,1092.8,1.22877,1.41789,1.34403,0.77222,0.59129,0.58361,0.4403,1.53767,1.65801,1.68074,0.00076325,0.00076325,0.00076325
