epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.1621,1.84622,3.54291,1.47854,0.00333,1,0.50285,0.2084,1.55488,3.67106,1.2228,0.00022,0.00022,0.00022
2,191.473,1.73197,2.63004,1.30739,0.31441,0.72549,0.46414,0.19847,1.70088,3.49154,1.3786,0.000455446,0.000455446,0.000455446
3,263.892,1.7324,2.37464,1.29939,0.33382,0.19608,0.3443,0.1294,2.11052,3.56169,1.51768,0.00068614,0.00068614,0.00068614
4,328.691,1.91082,2.40916,1.40391,0.27724,0.7451,0.41187,0.15323,1.90531,3.71006,1.52461,0.000912082,0.000912082,0.000912082
5,395.825,1.91378,2.54423,1.4046,0.29098,0.17647,0.17944,0.04328,2.7246,4.36205,2.52539,0.00113327,0.00113327,0.00113327
6,462.236,1.94721,2.3794,1.47274,0.42291,0.2549,0.2736,0.0787,2.35069,3.76139,2.83155,0.00134971,0.00134971,0.00134971
7,529.28,1.9657,2.41147,1.49578,0.2184,0.45098,0.19036,0.04727,2.33903,4.69076,2.51859,0.0015614,0.0015614,0.0015614
8,598.899,2.03606,2.31967,1.51927,0.37391,0.5098,0.28293,0.10367,2.22771,3.93989,2.10558,0.00176833,0.00176833,0.00176833
9,664.086,1.94208,2.295,1.51924,0.15523,0.29412,0.12259,0.0319,2.569,4.03484,2.28925,0.0018416,0.0018416,0.0018416
10,728.578,1.91383,2.19896,1.49421,0.14737,0.27451,0.11308,0.02921,2.5537,3.93265,2.23174,0.0018218,0.0018218,0.0018218
11,793.823,1.93978,2.16048,1.47511,0.38593,0.35294,0.26092,0.05895,2.66064,4.03346,2.57856,0.001802,0.001802,0.001802
12,868.106,1.88758,2.08173,1.47662,0.31893,0.2549,0.21868,0.05467,2.59091,4.90241,2.31211,0.0017822,0.0017822,0.0017822
13,933.377,1.8586,2.05498,1.45535,0.18143,0.37255,0.13692,0.04963,2.60476,4.19737,2.41797,0.0017624,0.0017624,0.0017624
14,992.393,1.91234,2.03632,1.49557,0.51144,0.43106,0.41362,0.13311,2.1514,2.97825,1.66929,0.0017426,0.0017426,0.0017426
15,1050.26,1.8266,2.03441,1.47061,0.28978,0.41176,0.31365,0.11297,2.04979,3.96144,1.61766,0.0017228,0.0017228,0.0017228
16,1108.5,1.83154,1.89529,1.46377,0.22735,0.33333,0.16803,0.0591,2.06139,5.71719,1.63733,0.001703,0.001703,0.001703
17,1165.73,1.80181,1.81925,1.41402,0.33418,0.4902,0.3113,0.10568,2.08227,4.09324,1.63197,0.0016832,0.0016832,0.0016832
18,1223.38,1.84997,1.83092,1.41414,0.36268,0.52941,0.39218,0.12209,2.02806,3.61515,1.63764,0.0016634,0.0016634,0.0016634
19,1280.45,1.74492,1.75826,1.36921,0.34743,0.80392,0.34927,0.12649,2.01674,2.40737,1.58064,0.0016436,0.0016436,0.0016436
20,1337.56,1.66987,1.67005,1.33202,0.60775,0.52941,0.51159,0.18834,2.01663,2.65587,1.5759,0.0016238,0.0016238,0.0016238
21,1395.51,1.70741,1.58704,1.295,0.52732,0.60784,0.5865,0.14748,2.16271,2.15092,1.66026,0.001604,0.001604,0.001604
22,1453.42,1.7542,1.70115,1.37167,0.52686,0.68627,0.53605,0.19896,1.87752,2.04296,1.4173,0.0015842,0.0015842,0.0015842
23,1511.56,1.7138,1.66069,1.35222,0.33426,0.69901,0.40602,0.13706,1.92304,2.36771,1.47299,0.0015644,0.0015644,0.0015644
24,1568.92,1.70017,1.62466,1.38159,0.53343,0.62745,0.58699,0.20927,1.85457,2.10234,1.49955,0.0015446,0.0015446,0.0015446
25,1627.41,1.75067,1.57442,1.3219,0.33688,0.60784,0.4157,0.14063,1.74569,2.18569,1.33742,0.0015248,0.0015248,0.0015248
26,1685.79,1.74567,1.5535,1.33933,0.24526,0.7451,0.28866,0.1019,1.73605,2.43553,1.35841,0.001505,0.001505,0.001505
27,1743.51,1.65537,1.53125,1.30434,0.57967,0.7572,0.59375,0.22207,1.69619,1.94287,1.35778,0.0014852,0.0014852,0.0014852
28,1802.38,1.66198,1.52975,1.31349,0.44048,0.66667,0.48185,0.16432,1.81609,2.20357,1.38916,0.0014654,0.0014654,0.0014654
29,1859.95,1.62196,1.48445,1.29667,0.57486,0.66667,0.58109,0.21702,1.70523,2.01594,1.36373,0.0014456,0.0014456,0.0014456
30,1917.47,1.63064,1.52897,1.30687,0.70794,0.66667,0.76816,0.28662,1.70959,1.92255,1.26273,0.0014258,0.0014258,0.0014258
31,1974.9,1.59599,1.43873,1.27274,0.5494,0.58824,0.55882,0.15066,1.77093,2.78448,1.3708,0.001406,0.001406,0.001406
32,2032.26,1.57322,1.44128,1.25453,0.64764,0.75691,0.68011,0.26108,1.76103,2.11232,1.24553,0.0013862,0.0013862,0.0013862
33,2089.1,1.61394,1.48799,1.29962,0.71085,0.77136,0.7861,0.31658,1.80093,1.68842,1.26561,0.0013664,0.0013664,0.0013664
34,2146.3,1.58016,1.40943,1.24461,0.48803,0.56863,0.49925,0.2085,1.85948,2.09791,1.29151,0.0013466,0.0013466,0.0013466
35,2203.87,1.62267,1.45661,1.29418,0.55977,0.62745,0.52242,0.20767,1.82623,1.75277,1.27789,0.0013268,0.0013268,0.0013268
