epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1606,0.43654,0.38183,0.83373,0.9727,0.98245,0.97502,0.90615,0.40668,0.35739,0.81218,0.00044299,0.00044299,0.00044299
2,25.4085,0.47234,0.40582,0.84675,0.97129,0.9721,0.97722,0.89145,0.44584,0.38403,0.81548,0.000811143,0.000811143,0.000811143
3,37.7663,0.47811,0.39399,0.85257,0.96606,0.97455,0.97636,0.87926,0.48831,0.42125,0.82296,0.00108876,0.00108876,0.00108876
4,50.016,0.501,0.41152,0.85668,0.96786,0.97271,0.97303,0.89516,0.42845,0.40936,0.81662,0.00100459,0.00100459,0.00100459
5,62.5402,0.46735,0.39997,0.8533,0.96558,0.98149,0.97209,0.8851,0.45151,0.40821,0.82198,0.000863116,0.000863116,0.000863116
6,75.2543,0.45721,0.39577,0.85342,0.97047,0.97271,0.97544,0.89564,0.41692,0.40369,0.82771,0.000721645,0.000721645,0.000721645
7,88.2378,0.47633,0.40012,0.84717,0.97286,0.97271,0.97481,0.90737,0.40164,0.38492,0.82386,0.000580174,0.000580174,0.000580174
8,100.657,0.43761,0.37624,0.8513,0.97359,0.97563,0.97425,0.90515,0.40223,0.37361,0.81208,0.000438703,0.000438703,0.000438703
9,112.986,0.41907,0.37543,0.84225,0.97293,0.9771,0.97521,0.90764,0.39684,0.37199,0.81628,0.000297232,0.000297232,0.000297232
10,125.052,0.40903,0.36466,0.84068,0.9687,0.9771,0.9753,0.91144,0.38007,0.36589,0.81451,0.000155761,0.000155761,0.000155761
